Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00014012,-1.2866E-05,-0.067235,0,0,0,1.054,0.00066925,-1.7138E-07,8.4179E-07,0.0060916,-5.4732E-08,0.006372,0,0,0,0,0,0,package://simulation_world/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://simulation_world/meshes/base_link.STL,,SubAssembly_Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rear_left_hip,0.032048263261567,0.00148857273521091,0.000801285389170403,0,0,0,0.0631744337027232,1.00187470871694E-05,1.26346518144828E-06,-1.71088892144535E-13,1.47423630145446E-05,-3.33426314544602E-14,2.18314090226691E-05,0,0,0,0,0,0,package://simulation_world/meshes/rear_left_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/rear_left_hip.STL,,SubAssembly_Hip-1,Origin_rear_left_hip_joint,Axis_rear_left_hip_joint,rear_left_hip_joint,revolute,-0.2231,0.0323,-0.02605,1.5708,-0.0099006,1.5708,base_link,0,0,1,200,200,0,1.571,,,,,,,,
rear_left_leg,-3.41455978458693E-06,0.0865094820933296,-0.00425258484840052,0,0,0,0.208886814057311,7.70084638154863E-05,9.13752456418355E-09,3.41558069671286E-07,5.22430908180149E-05,-3.49227338347394E-08,5.21652155907927E-05,0,0,0,0,0,0,package://simulation_world/meshes/rear_left_leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/rear_left_leg.STL,,SubAssembly_Leg-1,Origin_rear_left_leg_joint,Axis_rear_left_leg_joint,rear_left_leg_joint,revolute,0.0611,-0.006895,-5E-05,1.5708,-1.5526,1.5708,rear_left_hip,0,0,-1,200,200,-0.5,0.5,,,,,,,,
rear_left_wheel,-1.2835011736767E-06,2.34490590667047E-07,-0.0298825868697071,0,0,0,0.447367748033206,0.00104268899323013,-3.91603340525233E-08,3.60415118706037E-11,0.00104263881447407,-3.26123864995785E-11,0.00200352361648073,0,0,0,0,0,0,package://simulation_world/meshes/rear_left_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/rear_left_wheel.STL,,SubAssembly_Wheel-2,Origin_rear_left_wheel_joint,Axis_rear_left_wheel_joint,rear_left_wheel_joint,continuous,0,0.162,0.011129,-3.1416,0,0.018227,rear_left_leg,0,0,-1,200,200,,,,,,,,,,
rear_left_blade,-3.30314530727627E-08,-8.23060748793014E-05,0.0082946342231609,0,0,0,0.00610274937825579,4.75952063199721E-06,-3.96883337183772E-08,-3.93240380060884E-10,1.57361545543065E-07,-4.65846533883739E-08,4.86189149512478E-06,0,0,0,0,0,0,package://simulation_world/meshes/rear_left_blade.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/rear_left_blade.STL,,PROPELLER - 8x4.5 CW_L1-1,Origin_rear_left_blade_joint,Axis_rear_left_blade_joint,rear_left_blade_joint,continuous,0,0.162,0.061129,-0.0099006,0,0.018227,rear_left_leg,0,-0.0099004,0.99995,200,200,,,,,,,,,,
rear_right_hip,0.0320482634870919,0.00148857274187802,-0.000820989548367512,0,0,0,0.0631744341018766,1.00187470810585E-05,1.26346518895748E-06,-1.58209935155058E-13,1.47423629783338E-05,-2.99342928986296E-14,2.18314089935792E-05,0,0,0,0,0,0,package://simulation_world/meshes/rear_right_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/rear_right_hip.STL,,SubAssembly_Hip_B-1,Origin_rear_right_hip_joint,Axis_rear_right_hip_joint,rear_right_hip_joint,revolute,-0.2235,-0.0323,-0.02605,1.5708,-0.0032479,-1.5708,base_link,0,0,-1,200,200,0,1.571,,,,,,,,
rear_right_leg,3.41455156416259E-06,0.0865094821571721,0.00425258483326613,0,0,0,0.208886814304404,7.70084638389827E-05,-9.13752631729426E-09,3.41558058672973E-07,5.22430908411789E-05,3.49227166953638E-08,5.21652156031499E-05,0,0,0,0,0,0,package://simulation_world/meshes/rear_right_leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/rear_right_leg.STL,,SubAssembly_Leg-5,Origin_rear_right_leg_joint,Axis_rear_right_leg_joint,rear_right_leg_joint,revolute,0.0611,-0.006895,0,3.1416,1.5708,0,rear_right_hip,0,0,1,200,200,-0.5,0.5,,,,,,,,
rear_right_wheel,-1.78659846361562E-08,-2.01874887645337E-06,0.0255799203790625,0,0,0,0.447367750743676,0.0010426206896193,-2.73561891555305E-10,3.48030847023143E-11,0.00104270712224184,3.22928670574781E-11,0.00200352362095162,0,0,0,0,0,0,package://simulation_world/meshes/rear_right_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/rear_right_wheel.STL,,SubAssembly_Wheel-6,Origin_rear_right_wheel_joint,Axis_rear_right_wheel_joint,rear_right_wheel_joint,continuous,0,0.162,-0.015431,3.1416,0,0,rear_right_leg,0,0,1,200,200,,,,,,,,,,
rear_right_blade,2.93887484903443E-08,6.79423276528368E-08,0.00399237045178649,0,0,0,0.00610270077025495,4.75712306507452E-06,-1.12007295746605E-07,2.24623999105101E-13,1.59284414569248E-07,3.54828245352755E-13,4.86233952224275E-06,0,0,0,0,0,0,package://simulation_world/meshes/rear_right_blade.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/rear_right_blade.STL,,PROPELLER - 8x4.5 CW-1,Origin_rear_right_blade_joint,Axis_rear_right_blade_joint,rear_right_blade_joint,continuous,0,0.162,-0.065431,3.1416,0,0,rear_right_leg,0,0,1,200,200,,,,,,,,,,
front_left_hip,0.0320482633471696,0.00148857273674285,0.00169341200883941,0,0,0,0.0631744338743183,1.00187470896772E-05,1.26346518496343E-06,-1.75127210359815E-13,1.474236301921E-05,-3.22758580937248E-14,2.18314090243211E-05,0,0,0,0,0,0,package://simulation_world/meshes/front_left_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/front_left_hip.STL,,SubAssembly_Hip_B-2,Origin_front_left_hip_joint,Axis_front_left_hip_joint,front_left_hip_joint,revolute,0.22099,0.0323,-0.02605,1.5708,-0.006693,1.5708,base_link,0,0,-1,200,200,0,1.571,,,,,,,,
front_left_leg,-3.41455576607095E-06,0.0865094821265606,-0.00425258483916741,0,0,0,0.208886814202469,7.70084638282559E-05,9.13752541336675E-09,3.41558064254658E-07,5.22430908306995E-05,-3.49227240782923E-08,5.21652155975951E-05,0,0,0,0,0,0,package://simulation_world/meshes/front_left_leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/front_left_leg.STL,,SubAssembly_Leg-6,Origin_front_left_leg_joint,Axis_front_left_leg_joint,front_left_leg_joint,revolute,0.0611,-0.006895,0.0025144,0,-1.5708,0,front_left_hip,0,0,-1,200,200,-0.5,0.5,,,,,,,,
front_left_wheel,1.77235233511999E-08,-2.01879895370127E-06,-0.0284894545323338,0,0,0,0.447367750292981,0.00104262069065618,2.74220212176939E-10,3.54050122778484E-11,0.00104270712119543,-3.25695335683767E-11,0.00200352362063109,0,0,0,0,0,0,package://simulation_world/meshes/front_left_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/front_left_wheel.STL,,SubAssembly_Wheel-7,Origin_front_left_wheel_joint,Axis_front_left_wheel_joint,front_left_wheel_joint,continuous,0,0.162,0.012522,3.1416,0,0,front_left_leg,0,0,-1,200,200,,,,,,,,,,
front_left_blade,-1.18411884182483E-08,-1.5997300897852E-07,0.0069019562259629,0,0,0,0.0061028301426362,4.65427221541224E-06,6.89623690398127E-07,-5.02014385573018E-13,2.62287309333734E-07,-7.87853177369262E-13,4.86249379657286E-06,0,0,0,0,0,0,package://simulation_world/meshes/front_left_blade.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/front_left_blade.STL,,PROPELLER - 8x4.5 CW_L1-2,Origin_front_left_blade_joint,Axis_front_left_blade_joint,front_left_blade_joint,continuous,0,0.162,0.062522,0,0,0,front_left_leg,0,0,1,200,200,,,,,,,,,,
front_right_hip,0.0320482634665248,0.0014885727412563,-0.00131311618414334,0,0,0,0.0631744340641276,1.00187470815544E-05,1.26346518823477E-06,-1.57692513882067E-13,1.47423629788781E-05,-2.96148209881054E-14,2.18314089943886E-05,0,0,0,0,0,0,package://simulation_world/meshes/front_right_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/front_right_hip.STL,,SubAssembly_Hip-4,Origin_front_right_hip_joint,Axis_front_right_hip_joint,front_right_hip_joint,revolute,0.22099,-0.0323,-0.02605,1.5708,-0.0046828,-1.5708,base_link,0,0,1,200,200,0,1.571,,,,,,,,
front_right_leg,3.41455365766163E-06,0.0865094821436897,0.00425258483703411,0,0,0,0.208886814244098,7.70084638339796E-05,-9.13752605384622E-09,3.4155806167583E-07,5.2243090836002E-05,3.49227209398553E-08,5.21652156003534E-05,0,0,0,0,0,0,package://simulation_world/meshes/front_right_leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/front_right_leg.STL,,SubAssembly_Leg-4,Origin_front_right_leg_joint,Axis_front_right_leg_joint,front_right_leg_joint,revolute,0.0611,-0.006895,-0.0021644,1.5708,1.5656,-1.5708,front_right_hip,0,0,1,200,200,-0.5,0.5,,,,,,,,
front_right_wheel,1.28310223720821E-06,2.3448596928044E-07,0.0255837574129385,0,0,0,0.447367750640603,0.00104268899474349,3.91619025865096E-08,3.50659148166867E-11,0.00104263881744075,3.24293757397963E-11,0.00200352362110246,0,0,0,0,0,0,package://simulation_world/meshes/front_right_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/front_right_wheel.STL,,SubAssembly_Wheel-5,Origin_front_right_wheel_joint,Axis_front_right_wheel_joint,front_right_wheel_joint,continuous,0,0.162,-0.015427,-3.1416,0,-0.0052077,front_right_leg,0,0,1,200,200,,,,,,,,,,
front_right_blade,6.96858681763831E-08,7.67517420813268E-07,0.0039962219905107,0,0,0,0.00610290216434297,4.75885051711651E-06,7.08408517084622E-08,-8.40829933326352E-14,1.57650099061995E-07,8.23720329397051E-13,4.86243263794242E-06,0,0,0,0,0,0,package://simulation_world/meshes/front_right_blade.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simulation_world/meshes/front_right_blade.STL,,PROPELLER - 8x4.5 CW_L1-4,Origin_front_right_blade_joint,Axis_front_right_blade_joint,front_right_blade_joint,continuous,0,0.162,-0.065427,-3.1416,0,-0.0052077,front_right_leg,0,0,1,200,200,,,,,,,,,,
